City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nantucket,US,77.11,overcast clouds,41.2835,-70.0995,Nantucket
6,Lazaro Cardenas,MX,88.88,scattered clouds,17.9583,-102.2,Lázaro Cárdenas
8,Bud,US,76.19,overcast clouds,39.447,-86.1758,Trafalgar
9,Cuicatlan,MX,87.85,overcast clouds,17.8,-96.9667,San Juan Bautista Cuicatlán
10,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Amami
11,Tual,ID,79.05,overcast clouds,-5.6667,132.75,Tual
12,Albany,US,84.94,overcast clouds,42.6001,-73.9662,Voorheesville
14,Salalah,OM,80.06,overcast clouds,17.0151,54.0924,Salalah
15,Harper,LR,76.84,overcast clouds,4.375,-7.7169,Harper
16,Atuona,PF,76.96,light rain,-9.8,-139.0333,Atuona
19,Half Moon Bay,US,85.91,broken clouds,37.4636,-122.4286,Half Moon Bay
22,Braganca,BR,84.96,clear sky,-1.0536,-46.7656,Bragança
23,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Kapaʻa
26,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Recife
31,Bardiyah,LY,79.47,clear sky,31.7561,25.0865,Bardiyah
38,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Puerto Ayora
41,Uruzgan,AF,85.12,overcast clouds,32.8333,66.0,Chora
43,Toledo,ES,86.52,clear sky,39.8333,-4.0,Toledo
46,Bardsir,IR,78.8,clear sky,29.9227,56.5743,Bardsir
48,Ishigaki,JP,80.73,few clouds,24.3448,124.1572,Ishigaki
51,San Pedro,PH,81.63,broken clouds,14.35,121.0167,Bacoor
53,Butaritari,KI,81.36,light rain,3.0707,172.7902,Ukiangang
60,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Cabo Frio
64,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Grussaí
66,Lompoc,US,86.68,few clouds,34.6391,-120.4579,Lompoc
67,Ilebo,CD,77.45,broken clouds,-4.3167,20.5833,Ilebo
71,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Hong Kong
72,Isangel,VU,75.38,clear sky,-19.55,169.2667,Isangel
78,Belgrade,RS,76.44,clear sky,44.804,20.4651,Belgrade
79,Bubaque,GW,80.92,few clouds,11.2833,-15.8333,Bubaque
81,Gat,IL,80.82,clear sky,31.61,34.7642,Kiryat Gat
84,Bauru,BR,85.14,clear sky,-22.3147,-49.0606,Bauru
85,Luwuk,ID,76.87,overcast clouds,-0.9516,122.7875,Luwuk
88,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo
89,Thompson,CA,82.56,scattered clouds,55.7435,-97.8558,Thompson
90,Yurimaguas,PE,86.16,scattered clouds,-5.9,-76.0833,Pueb Yurimaguas
