City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Quintin,MX,30.4833,-115.95,74.19,64,3,15.21,clear sky
1,Nantucket,US,41.2835,-70.0995,77.11,71,99,11.61,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,35.71,93,100,3.33,light rain
3,Camacha,PT,33.0833,-16.3333,65.62,83,40,17.27,scattered clouds
4,Chimbote,PE,-9.0853,-78.5783,67.78,70,3,10.2,clear sky
5,Ushuaia,AR,-54.8,-68.3,31.62,86,75,4.61,broken clouds
6,Lazaro Cardenas,MX,17.9583,-102.2,88.88,57,26,5.75,scattered clouds
7,Safford,US,32.834,-109.7076,97.11,15,0,2.08,clear sky
8,Bud,US,39.447,-86.1758,76.19,97,100,3.29,overcast clouds
9,Cuicatlan,MX,17.8,-96.9667,87.85,51,95,6.44,overcast clouds
10,Naze,JP,28.3667,129.4833,77.92,90,100,9.91,overcast clouds
11,Tual,ID,-5.6667,132.75,79.05,79,100,19.1,overcast clouds
12,Albany,US,42.6001,-73.9662,84.94,50,100,3.0,overcast clouds
13,Aklavik,CA,68.2191,-135.0107,69.8,78,75,9.22,broken clouds
14,Salalah,OM,17.0151,54.0924,80.06,84,98,1.99,overcast clouds
15,Harper,LR,4.375,-7.7169,76.84,81,99,11.21,overcast clouds
16,Atuona,PF,-9.8,-139.0333,76.96,81,60,15.61,light rain
17,Bluff,NZ,-46.6,168.3333,44.8,89,100,30.67,light rain
18,Paamiut,GL,61.994,-49.6678,41.2,93,100,12.3,overcast clouds
19,Half Moon Bay,US,37.4636,-122.4286,85.91,74,75,16.11,broken clouds
20,Wasilla,US,61.5814,-149.4394,69.01,57,20,8.05,few clouds
21,Baykit,RU,61.67,96.37,57.65,68,100,2.17,overcast clouds
22,Braganca,BR,-1.0536,-46.7656,84.96,65,9,6.8,clear sky
23,Kapaa,US,22.0752,-159.319,79.12,77,40,16.11,scattered clouds
24,Rikitea,PF,-23.1203,-134.9692,74.91,77,78,21.83,light rain
25,Mahebourg,MU,-20.4081,57.7,68.29,88,75,12.66,light intensity shower rain
26,Olinda,BR,-8.0089,-34.8553,80.33,74,40,17.27,scattered clouds
27,Hobart,AU,-42.8794,147.3294,48.06,94,100,6.91,overcast clouds
28,Iqaluit,CA,63.7506,-68.5145,42.53,86,20,8.05,few clouds
29,Mataura,NZ,-46.1927,168.8643,44.47,96,100,8.93,overcast clouds
30,Ullapool,GB,57.8987,-5.1604,55.35,92,100,11.59,overcast clouds
31,Bardiyah,LY,31.7561,25.0865,79.47,73,0,10.85,clear sky
